name	publisher	title	coverage	subject	placeOfPublication
sn95060906	Epitaph Print. and Pub. Co.	Tombstone weekly epitaph.	http://dbpedia.org/resource/Tombstone%2C_Arizona	Tombstone (Ariz.)--Newspapers.	Tombstone, Ariz.
sn87075048	Brehm & White	The Ohio Democrat.	http://dbpedia.org/resource/Logan%2C_Ohio		Logan, O. [Ohio]
sn96088466	C.H. Marsh & J.W. Connella	The Sumpter miner.	http://dbpedia.org/resource/Sumpter%2C_Oregon	Mineral industries--Oregon--Newspapers.	Sumpter, Or.
sn82016373	T.B. Kalbfus	The Sunday herald and weekly national intelligencer.		Washington (D.C.)--Newspapers.	Washington [D.C.]
sn83032300	Cooper, Sanderson & Co.	Lancaster daily intelligencer.	http://sws.geonames.org/5197079/	Lancaster (Pa.)--Newspapers.	Lancaster, Pa.
2010270500	J.L. McKean.	Dakota County herald.	http://dbpedia.org/resource/Dakota_City%2C_Nebraska	Dakota City (Neb.)--Newspapers.	Dakota City, Neb.
sn85032814	Dunn & Worcester	Thomas County cat.	http://dbpedia.org/resource/Colby%2C_Kansas		Colby, Kan.
sn87062245	Times Co.	The Washington times.		Washington (D.C.)--Newspapers.	Washington [D.C.]
sn94052361	James J. Nash	The Daily Tombstone.	http://sws.geonames.org/5317714/	Cochise County (Ariz.)--Newspapers.	Tombstone, Ariz.
sn99063956	Hofer Bros.	The Daily journal.	http://sws.geonames.org/5750162/	Salem (Or.)--Newspapers.	Salem, Or.
sn86069496	Chas. S. Harris	The Adair County news.	http://dbpedia.org/resource/Columbia%2C_Kentucky	Adair County (Ky.)--Newspapers.	Columbia, Ky.
sn83045433	Washington Herald Co.	The Washington herald.		Washington (D.C.)--Newspapers.	Washington, D.C.
sn92070142	Edgar F. Howe	Imperial press and farmer.	http://sws.geonames.org/5359052/	Imperial County (Calif.)--Newspapers.	Imperial, San Diego County, Cal.
sn93067804	J. Felder Myers	Orangeburg times.	http://dbpedia.org/resource/Orangeburg%2C_South_Carolina	Orangeburg County (S.C.)--Newspapers.	Orangeburg Court House [S.C.]
sn97070126	W.B. Stephens	Anadarko morning democrat.	http://sws.geonames.org/4529353/	Caddo County (Okla.)--Newspapers.	Anadarko, Okla.
sn84027008	Julian A. Selby	The daily phoenix.	http://dbpedia.org/resource/Columbia%2C_South_Carolina	Richland County (S.C.)--Newspapers.	Columbia, S.C.
sn95026697	L.H. Eldridge	The DeLand weekly news.		Volusia County (Fla.)--Newspapers.	DeLand, Fla.
sn86069117	The Public Ledger Co.	Daily public ledger.	http://sws.geonames.org/4300152/	Mason County (Ky.)--Newspapers.	Maysville, Ky.
sn84027004	J.A. Selby	Columbia phoenix.	http://dbpedia.org/resource/Columbia%2C_South_Carolina	Richland County (S.C.)--Newspapers.	Columbia, S.C.
2010270510	Wessel & Dobbins	Capital city courier.	http://sws.geonames.org/5072005/	Lincoln (Neb.)--Newspapers.	Lincoln, Neb.
sn88064069	J.B. Story, J.T. Reeves	The Bienville Democrat.	http://dbpedia.org/resource/Arcadia%2C_Louisiana		Arcadia, Bienville Parish, La.
sn83030213	Greeley & McElrath	New-York daily tribune.		New York County (N.Y.)--Newspapers.	New-York [N.Y.]
sn84028473	H.M. Fowler	The Mahoning dispatch.	http://dbpedia.org/resource/Canfield%2C_Ohio	Canfield (Ohio)--Newspapers.	Canfield, Mahoning County, Ohio
sn93067790	Heyward and Beard	Orangeburg times.	http://dbpedia.org/resource/Orangeburg%2C_South_Carolina	Orangeburg County (S.C.)--Newspapers.	Orangeburg, S.C.
